*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=donkeybounceshield
*Date=16:40:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;19.7866;-21.589;0;Bottom;Copper Fill122
2;;diode-1n4148;43.7083;-47.1;0;Bottom;D2
3;;;11.031;-24.0543;0;Top;blkr5
4;;;25.7937;-38.2387;0;Bottom;Copper Fill39
5;;1206;15.1063;-33.622;90;Top;C3
6;;;60.8866;-25.5808;0;Bottom;blkr3
7;;;2.2733;-52.2341;0;Bottom;Copper Fill48
8;;sj_2s-no;34.3537;-37.8801;90;Top;SJ8
9;;1206;21.804;-21.5473;0;Top;C6
10;;;29.2481;-9.73991;0;Bottom;Copper Fill121
11;;;13.2192;-47.326;0;Bottom;Via18
12;;;40.8305;-15.2517;0;Bottom;Copper Fill117
13;10k;0603 [SMD];31.8125;-40.6533;90;Top;R10
14;;;30.7923;-21.926;0;Top;blkr6
15;;;43.3705;-3.56771;0;Bottom;Copper Fill119
16;;;26.543;-39.3182;0;Bottom;Copper Fill120
17;;;28.6766;-14.0198;0;Bottom;Copper Fill41
18;;;15.0368;-40.7279;0;Bottom;Copper Fill13
19;;;48.0314;-26.9357;0;Bottom;Copper Fill106
20;;;29.4282;-7.60311;-90;Bottom;TXT1
21;;;40.9007;-15.6667;0;Bottom;Via46
22;;;40.8305;-16.2169;0;Bottom;Copper Fill30
23;;1206;30.5997;-15.8788;0;Top;C4
24;;;11.8261;-35.4816;0;Bottom;Via30
25;150mA;sot23-5;30.331;-19.4595;0;Top;U6
26;;;1.4478;-51.4086;0;Bottom;Copper Fill49
27;;;19.2682;-7.60311;-90;Bottom;TXT1
28;;;10.6553;-52.2087;0;Bottom;Copper Fill43
29;;;17.2974;-39.3182;0;Bottom;Copper Fill55
30;10k;0603 [SMD];5.53959;-38.7505;-90;Top;R8
31;;;61.3664;-25.8065;90;Bottom;TXT2
32;;1206;30.5639;-24.1256;0;Top;C2
33;10k;0603 [SMD];15.1306;-38.4709;90;Top;R6
34;;sot23-3;4.57105;-42.7618;0;Top;Q6
35;;;12.6832;-38.2949;0;Top;blkr10
36;;;23.1289;-14.3363;0;Bottom;Via11
37;;;10.6553;-48.2971;0;Bottom;Copper Fill126
38;;;7.99118;-27.1967;90;Bottom;HC-SR5
39;;THT;19.9303;-45.2496;-90;Bottom;Th-In
